user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
20857359.2894690676,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
20875087.2195455018,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
22421698.4080660945,2020-12-25,low_engagement_72h,0,0,0,0,0,0,2,0,0
26096853.0724717562,2020-12-27,searcher_only_72h,1,0,1,0,0,0,1,0,0
26442433.3652490087,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
27408199.0640026686,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
28529385.7753868501,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
28729027.5875619959,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
28741794.0490626461,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
29151643.3314820149,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
30587518.7069903212,2020-12-27,searcher_only_72h,1,0,1,0,0,0,2,0,0
30697610.5487391529,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
30863594.4363651123,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
30900041.8775059609,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
32296924.8016442106,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
32544920.1892311232,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
32697501.7781943972,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
33266635.9668628495,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
35203980.3514351563,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
35558370.5465451025,2020-12-27,searcher_only_72h,1,0,0,0,0,0,1,0,0
36378732.2060769864,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
36671183.8942595522,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
38067079.7414386781,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
38151980.5455306961,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
39136601.1675533801,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
39505751.5723846446,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
39946110.1440756851,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,1,1,0
40612049.8080502196,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
41149198.9081936619,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
41630035.8337212104,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
42037332.2234652610,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
42259175.5649470534,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
42421853.4342978468,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,1,1,0
42593021.6885733118,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
43075406.1931845352,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
43877346.3017156364,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
46894088.8620284536,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
46960000.9320504642,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
47650455.2394629943,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
48965409.9504669862,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
51289008.6136001014,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
52678485.4411926512,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
52724016.8883414611,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
